pbix,page,visual_index,visual_type,title,entities,query_refs
Informe Noviembre M.MUNIZAGA.pbix,Página 2,4,funnel,,Indices_Financieros,Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
Informe Noviembre M.MUNIZAGA.pbix,Página 2,5,slicer,,Orde_de_Índice,Orde_de_Índice.NombreIndice
Informe Octubre M.MUNIZAGA.pbix,Página 1,0,slicer,,FiltroTipo,FiltroTipo.Tipo
Informe Octubre M.MUNIZAGA.pbix,Página 1,1,slicer,,TipoAtributoRelacion,TipoAtributoRelacion.Atributo
Informe Octubre M.MUNIZAGA.pbix,Página 1,2,clusteredColumnChart,,001_Dat_Presupuesto | 002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes | Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor)
Informe Octubre M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe Octubre M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe Octubre M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe Octubre M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe Octubre M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
Informe Octubre M.MUNIZAGA.pbix,Página 2,0,image,,,
Informe Octubre M.MUNIZAGA.pbix,Página 2,1,image,,,
Informe Octubre M.MUNIZAGA.pbix,Página 2,2,textbox,,,
Informe Octubre M.MUNIZAGA.pbix,Página 2,3,tableEx,,Indices_Financieros | Orde_de_Índice,Orde_de_Índice.NombreIndice | Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
Informe Octubre M.MUNIZAGA.pbix,Página 2,4,funnel,,Indices_Financieros,Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
Informe Octubre M.MUNIZAGA.pbix,Página 2,5,slicer,,Orde_de_Índice,Orde_de_Índice.NombreIndice
Informe Septiembre M.MUNIZAGA.pbix,Página 1,0,slicer,,FiltroTipo,FiltroTipo.Tipo
Informe Septiembre M.MUNIZAGA.pbix,Página 1,1,slicer,,TipoAtributoRelacion,TipoAtributoRelacion.Atributo
Informe Septiembre M.MUNIZAGA.pbix,Página 1,2,clusteredColumnChart,,001_Dat_Presupuesto | 002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes | Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor)
Informe Septiembre M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe Septiembre M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe Septiembre M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe Septiembre M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe Septiembre M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta | LocalDateTable_aa1b7eeb-1159-414b-8d52-d81a148509f9,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
