Cod. Producto,Producto,Cod. U. Medida,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock Total Consolidado,Costo Unit.,Costo Total
E500PX003M02,BOTIQUIN PRIMEROS AUXILIOS,UN,1.0,0.0,1.0,19707.0,19707.0
H100AV000002,CORTA CORRIENTE,UN,1.0,0.0,1.0,75000.0,75000.0
H100AV000026,CUÑAS POULIRETANO,UN,4.0,0.0,4.0,40000.0,160000.0
H100AV000027,BARRA,UN,1.0,0.0,1.0,3840.0,3840.0
H100AVQUIN17,TRIANGULO REFLECTANTE PARA CAMIONETA,UN,4.0,0.0,4.0,4680.0,18720.0
H100FI000014,FILTRO AIRE,UN,1.0,0.0,1.0,13680.0,13680.0
H100FI00CO14,FILTRO 2 1/2COBRE PN 16 BSP,UN,1.0,0.0,1.0,46787.0,46787.0
H100RP000005,MOTOR,UN,3.0,0.0,3.0,1806900.0,5420700.0
H100RP000028, SEPARADOR DE RUEDA PARA GRUA HORQUILLA,UN,60.0,0.0,60.0,7351.0,441060.0
H200EL000017,TALADRO INALAMBRICO,UN,0.0,1.0,1.0,71950.0,71950.0
H200ELESCM00,ESCAREADOR NEUMATICO PARA LIMPIENZA DE SALPICADURA DE SOLD.,UN,0.0,1.0,1.0,131765.0,131765.0
H200ELMAKI02,ESMERIL ANGULAR 7IN MAKITA 2200W,UN,2.0,0.0,2.0,158413.0,316826.0
H200ELMAKI10,ESMERIL ANGULAR 4 1/2  9557HP MAKITA,UN,1.0,0.0,1.0,24495.0,24495.0
H200ELMK0005,BATERIA DE MOCHILA PDC1200A02 + ADAPTADOR,UN,1.0,0.0,1.0,872500.0,872500.0
H300RGAR0000,REGULADOR ARGON,UN,0.0,8.0,8.0,37782.0,302256.0
H300RM000006,LINER MIG 1.2 - 1.6,UN,0.0,6.0,6.0,9144.33,54866.0
H300RM000043,VALVULA ANTIRRETROCESO REGULADOR GAS,UN,3.0,2.0,5.0,9545.0,47725.0
H300RM000044,VALVULA ANTIRRETROCESO REGULADOR OXIGENO,UN,2.0,2.0,4.0,9545.0,38180.0
H300RM000045,VALVULA ANTIRRETROCESO SOPLETE GAS,UN,0.0,1.0,1.0,9545.0,9545.0
H300RM070003,JUEGO DE CARBONES ESMERIL ANGULAR 7-DEWALT,PR,12.0,0.0,12.0,9984.55,119815.0
H300RM4M0002,JUEGO DE CARBONES ESMERIL ANGULAR 4 1/2 - DEWALT,PR,12.0,0.0,12.0,9184.6,110215.0
H300RM721808,JUEGO CARBONES B-218 ESMERIL 7 - MAKITA,PR,3.0,0.0,3.0,7850.0,23550.0
H300RMCIMT24,TORCHA (PISTOLA) MIG TW400 4.5 METROS,UN,2.0,0.0,2.0,252892.0,505784.0
H300RMELEC33,PORTA ELECTRODO 300 AMP,UN,0.0,6.0,6.0,19900.0,119400.0
H300RMINTDIF,INTERRUPTOR DIFERENCIAL 25A AC 30MA,UN,0.0,4.0,4.0,19319.3,77277.0
H300RMLIND49,DEPOSITO PLASTICO CODIGO 0009802609,UN,2.0,0.0,2.0,100228.0,200456.0
H300RMNN0047,ADAPTADOR MANDRIL UNF 1/2-20 X 3/4,UN,4.0,0.0,4.0,2680.0,10720.0
H300RMSOLT38,PINZA TOMA TIERRA 500 AMP,UN,5.0,0.0,5.0,12078.45,60392.0
H300RMTORC43,JUEGO DE CARBONES MAQUINA TORCH,KT,300.0,0.0,300.0,365.0,109500.0
H300RPCIMT01,REGULADOR FLUJOMETRO OXIGENO,UN,0.0,7.0,7.0,36410.57,254874.0
H300RPCIMT19,TORCHA TIG WP17V DUAL 4 MT,UN,499.0,0.0,499.0,1000.0,499000.0
H300RPCIMT37,REGULADOR MANOMETRO PROPANO,UN,0.0,15.0,15.0,33312.2,499683.0
H400MANGUPQS,MANGUERA PQS,MT,0.0,45.0,45.0,2890.0,130050.0
H400MQ000007,PUENTE GRUA 10 TONELADAS,UN,0.0,4.0,4.0,8847574.0,35390296.0
H400MQ000022,PISTOLA MIG,UN,0.0,2.0,2.0,124931.32,249863.0
H400MQ000023,PORTA POWER,UN,1.0,0.0,1.0,249774.0,249774.0
H400MQ000033,CIZALLA UNIVERSAL,UN,1.0,0.0,1.0,19864.0,19864.0
H400MQ000037,BOMBA HIDRAULICA HY230 CN ENFRIADOR HY230*HYTORC,UN,0.0,1.0,1.0,3561530.0,3561530.0
H400MQ000046,UNIDAD HIDRAULICA,UN,2.0,0.0,2.0,40000.0,80000.0
H400MQHYTO40,LLAVE TORQUE HYTORC CUADRANTE 1´´,UN,0.0,1.0,1.0,3341900.0,3341900.0
H400MQSKIL33,SIERRA CIRCULAR 7 1/4,UN,0.0,3.0,3.0,147540.0,442620.0
H500IN000002,FLEXOMETRO 10 MT,UN,0.0,19.4,19.4,15833.29,307166.0
H500IN000004,ESCUADRA ACERO,UN,5.0,0.0,5.0,34797.0,173985.0
H500IN000006,ESCUADRA 24in,UN,5.0,0.0,5.0,8089.24,40446.0
H500IN000008,JUEGO TIZADOR,UN,2.0,3.0,5.0,6384.68,31923.0
H500IN000009,LAPIZ PARA RAYAR METAL,UN,3.0,0.0,3.0,3206.58,9620.0
H500IN000010,NIVEL BURBUJA,UN,0.0,1.0,1.0,10355.0,10355.0
H500IN000012,COMPAS MECANICO PUNTA RECTA 12,UN,0.0,8.0,8.0,10567.94,84544.0
H500IN000016,ESCUADRA COMBINADA DE 12'',UN,0.0,7.0,7.0,15.29,107.0
H500IN000028,FLEXOMETRO METALICO 30 MTS,UN,0.0,2.0,2.0,32712.68,65425.0
H500IN000040,REGLA DE ACERO DE 40  / 1000MM,UN,0.0,4.0,4.0,6.55,26.0
H500IN25MLNN,MEDIDOR LASER ( RONIX DISTANCIA)/DISTANCIOMETRO ,UN,2.0,1.0,3.0,21745.0,65235.0
H500INMARC33,MARCADOR TERMOCONTRAIBLE 1 - 10AWG,UN,0.0,8.0,8.0,76339.0,610712.0
H500INMITU04,PIE DE METRO MITUTOYO 8 Pul.,UN,0.0,5.0,5.0,68862.04,344310.0
H500INPBG300,PESA BALANZA GANCHO 300 KG,UN,0.0,1.0,1.0,93051.0,93051.0
H500MQAGC329,ENZUNCHADORA AGC33 ACERO 13-16-19MM MANUAL,,0.0,2.0,2.0,19900.0,39800.0
H500PIME6000,PIE DE METRO 6¨,UN,0.0,1.0,1.0,61909.52,61910.0
H700CGNN0002,GRILLETE 2in,UN,1.0,0.0,1.0,956.0,956.0
H700CGNN0012,GRILLETE  1/2in,UN,3.0,0.0,3.0,1045.0,3135.0
H700CGZNNN07,GRILLETE ZN 3/4,UN,1.0,0.0,1.0,6916.67,6917.0
H700CT000004,CUCHILLO CARTONERO,UN,2.0,8.0,10.0,3561.0,35610.0
H700CTNN0003,TIJERA HOJALATERA,UN,0.0,2.0,2.0,7630.15,15260.0
H700KT000018,SET PERFORACION,KT,0.0,21.0,21.0,10000.0,210000.0
H700KT000026,KIT SOPLETE CALENTADOR OXIGENO/GAS,KT,1.0,1.0,2.0,172350.0,344700.0
H700KT000027,KIT SOPLETE CALENTADOR GAS,KT,1.0,1.0,2.0,2150.0,4300.0
H700KTALLEN0,JUEGO LLAVE ALLEN,KT,0.0,7.0,7.0,6303.0,44121.0
H700KTDORM22,JUEGO DE MACHOS UNC DE 7/8   DORMER,UN,1.0,0.0,1.0,1000.0,1000.0
H700KTVOLK15,JUEGO DE MACHOS 1-1/2in - VOLKEL,UN,6.0,0.0,6.0,1000.0,6000.0
