Cod. Producto,Producto,Stock Total - STOCK SUCURSAL LA CHIMBA,Stock Total - TERRENO,Disponible - STOCK SUCURSAL LA CHIMBA,Disponible - TERRENO,Stock Total Consolidado
H800OTMANG56,MANGO PARA ESCOBILLONES,10.0,0.0,10.0,0.0,10.0
H800OTSNR031,"CHUMACERA UCF 208, SNR",7.0,0.0,7.0,0.0,7.0
H800OTSTAN46,STANLEY PRENSA CARPINTERA 6 PULGADAS,2.0,0.0,2.0,0.0,2.0
H800OTSTAN47,STANLEY PRENSA CARPINTERA 8 PULGADAS,10.0,0.0,10.0,0.0,10.0
H800OTSTAN50,PRENSA CARPINTERA 10 PULGADAS,2.0,0.0,2.0,0.0,2.0
H800OTYORK44,ESPATULA YORK 140MM,20.0,0.0,20.0,0.0,20.0
IAB11007SS00,DISCO DE CORTE FINO  07in   ESPESOR 1.6 MM,953.0,0.0,953.0,0.0,953.0
IAB11009MT00,DISCO DE CORTE FINO  09in   ESPESOR 3 MM,50.0,0.0,50.0,0.0,50.0
IAB1104MSS00,DISCO CORTE FINO  04 1/2in  ESPESOR 01 MM,1072.0,0.0,1072.0,0.0,1072.0
IAB12014SS00,DISCO CORTE NORMAL  14 in    ESPESOR 3mm,14.0,0.0,14.0,0.0,14.0
IAB1204MSS00,"DISCO CORTE NORMAL  04 1/2in    ESPESOR 2,5 MM",250.0,0.0,250.0,0.0,250.0
IAB13007SS00,DISCO DESBASTE 07in,363.0,0.0,363.0,0.0,363.0
IAB1304MSS00,DISCO DESBASTE 04 1/2in,160.0,0.0,160.0,0.0,160.0
IAB1404MHIHL,GRATA HISOPO  INOXIDABLE 26 MM,5.0,0.0,5.0,0.0,5.0
IAB1404MSSFA,GRATA PLANA TRENZADA  ACERO INOXIDABLE 4 1/2,10.0,0.0,10.0,0.0,10.0
IAB1604MSS00,DISCO ZIRCONIO 4 1/2 in G40,183.0,0.0,183.0,0.0,183.0
IAB18007SS00,DISCO ZIRCONIO 7 in G80,174.0,0.0,174.0,0.0,174.0
IAB23208NN00,PIEDRA ESMERIL DE BANCO 8 PLG,7.0,0.0,7.0,0.0,7.0
IAB23310AL00,DISCO DE SIERRA 10 IN ALUMINIO,4.0,0.0,4.0,0.0,4.0
IABDIAM00412,DISCO DIAMANTADO 4.1/2 CONTINUO,17.0,0.0,17.0,0.0,17.0
IAO0102MPAIN,PLUMON PAINT OLEO MEDIO 2MM AMARILLO,8.0,0.0,8.0,0.0,8.0
IAO010AZPLBL,PLUMON DE PIZARRA AZUL,18.0,0.0,18.0,0.0,18.0
IAO020LOROLA,LOMO ARCHIVADOR ANCHO ROJO - LAVORO,18.0,0.0,18.0,0.0,18.0
IAO050TNKITC,KIT TONER BROTHER ALTERNATIVO - MAGENTA-CYAN-YELLOW,2.0,0.0,2.0,0.0,2.0
IAO07048NN3M,CINTA ENMASCARAR,8.0,0.0,8.0,0.0,8.0
IAO0HPT25003,CARTUCHOS TINTA HP-250  MG,12.0,0.0,12.0,0.0,12.0
IAO103ANOCAP,ANOTADOR C. APRETADOR METAL/MADERA OF ACRIMET,7.0,0.0,7.0,0.0,7.0
IAO105AADURA,PILA DURACELL AA,4.0,0.0,4.0,0.0,4.0
IAO110TIJHAN,TIJERA HAND,2.0,0.0,2.0,0.0,2.0
