Cod. Producto,Producto,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock - TERRENO,Stock Total Consolidado
H400MQ000037,BOMBA HIDRAULICA HY230 CN ENFRIADOR HY230*HYTORC,0.0,1.0,0.0,1.0
H400MQ000046,UNIDAD HIDRAULICA,2.0,0.0,0.0,2.0
H400MQHYTO40,LLAVE TORQUE HYTORC CUADRANTE 1´´,0.0,1.0,0.0,1.0
H400MQSKIL33,SIERRA CIRCULAR 7 1/4,0.0,3.0,0.0,3.0
H500IN000002,FLEXOMETRO 10 MT,0.0,19.4,0.0,19.4
H500IN000004,ESCUADRA ACERO,5.0,0.0,0.0,5.0
H500IN000006,ESCUADRA 24in,5.0,0.0,0.0,5.0
H500IN000008,JUEGO TIZADOR,2.0,3.0,0.0,5.0
H500IN000009,LAPIZ PARA RAYAR METAL,3.0,0.0,0.0,3.0
H500IN000010,NIVEL BURBUJA,0.0,1.0,0.0,1.0
H500IN000012,COMPAS MECANICO PUNTA RECTA 12,0.0,8.0,0.0,8.0
H500IN000016,ESCUADRA COMBINADA DE 12'',0.0,7.0,0.0,7.0
H500IN000028,FLEXOMETRO METALICO 30 MTS,0.0,2.0,0.0,2.0
H500IN000040,REGLA DE ACERO DE 40  / 1000MM,0.0,4.0,0.0,4.0
H500IN25MLNN,MEDIDOR LASER ( RONIX DISTANCIA)/DISTANCIOMETRO ,2.0,1.0,0.0,3.0
H500INMARC33,MARCADOR TERMOCONTRAIBLE 1 - 10AWG,0.0,8.0,0.0,8.0
H500INMITU04,PIE DE METRO MITUTOYO 8 Pul.,0.0,5.0,0.0,5.0
H500INPBG300,PESA BALANZA GANCHO 300 KG,0.0,1.0,0.0,1.0
H500MQAGC329,ENZUNCHADORA AGC33 ACERO 13-16-19MM MANUAL,0.0,2.0,0.0,2.0
H500PIME6000,PIE DE METRO 6¨,0.0,1.0,0.0,1.0
H700CGNN0002,GRILLETE 2in,1.0,0.0,0.0,1.0
H700CGNN0012,GRILLETE  1/2in,3.0,0.0,0.0,3.0
H700CGZNNN07,GRILLETE ZN 3/4,1.0,0.0,0.0,1.0
H700CT000004,CUCHILLO CARTONERO,2.0,8.0,0.0,10.0
H700CTNN0003,TIJERA HOJALATERA,0.0,2.0,0.0,2.0
H700KT000018,SET PERFORACION,0.0,21.0,0.0,21.0
H700KT000026,KIT SOPLETE CALENTADOR OXIGENO/GAS,1.0,1.0,0.0,2.0
H700KT000027,KIT SOPLETE CALENTADOR GAS,1.0,1.0,0.0,2.0
H700KTALLEN0,JUEGO LLAVE ALLEN,0.0,7.0,0.0,7.0
H700KTDORM22,JUEGO DE MACHOS UNC DE 7/8   DORMER,1.0,0.0,0.0,1.0
H700KTVOLK15,JUEGO DE MACHOS 1-1/2in - VOLKEL,6.0,0.0,0.0,6.0
H700LCAC0001,ALICATE CAIMAN TIPO C,0.0,5.0,0.0,5.0
H700LL24IN28,LLAVE STILLSON 24in,1.0,0.0,0.0,1.0
H700LLCU1T34,ADAPTADOR IMPACTO 1/2 X 3/4-CUADRANTE REDUCTOR,4.0,0.0,0.0,4.0
H700LLCU3T12,ADAPTADOR IMPACTO 3/4 X1/2-CUADRANTE REDUCTOR,5.0,0.0,0.0,5.0
H700MN000003, ENGRASADOR  MANUAL 15 KG,1.0,0.0,0.0,1.0
H700MN000016,CHISPERO DE COPA,0.0,1.0,0.0,1.0
H700MN000045,DADO 2¨¨,0.0,1.0,0.0,1.0
H700MN000048,DADO 32 MM,1.0,0.0,0.0,1.0
H700MN000049,DADO 22 MM,7.0,0.0,0.0,7.0
H700MN000051,DADO 25 MM,0.0,4.0,0.0,4.0
H700MN000057,DADO 10MM,0.0,2.0,0.0,2.0
H700MN000059,DADO 15/16,1.0,0.0,0.0,1.0
H700MNN00030, ENGRASADOR  MANUAL 300 GR/ACEITADORA,3.0,0.0,0.0,3.0
H700MNN00050, ENGRASADOR  MANUAL 500 GR/ACEITADORA,3.0,0.0,0.0,3.0
H700MNNNNN01,DADO MAGNETICO,0.0,4.0,0.0,4.0
H700MNPHIL05,ATONILLADOR PUNTA PHILLIPS CROSSMANN Nº2,0.0,17.0,0.0,17.0
H700MP000002,MARTILLO CARPINTERO,4.0,4.0,0.0,8.0
H700MP000003,MARTILLO PEÑA,1.0,0.0,0.0,1.0
H700MP000015,TENSOR ZUNCHO METALICO 1/2,0.0,5.0,0.0,5.0
H700MP000016,COMBO,0.0,1.0,0.0,1.0
H700MPLIOI08,CHUZO,0.0,1.0,0.0,1.0
H700MPNN0001,CINCEL,0.0,13.0,0.0,13.0
H700MPTACT10,MARTILLO GOMA MANGO F/VIDRIO 45 MM,0.0,7.0,0.0,7.0
H700OTAIMT07,TENSOR TUBULAR ACERO INOXIDABLE 316L 3/4in,0.0,21.0,0.0,21.0
H8000TYRK00,ESPATULA YORK 100MM,0.0,10.0,0.0,10.0
H800NIALUM24,NIVEL ALUMINIO 24¨,0.0,4.0,0.0,4.0
H800NIALUM48,NIVEL ALUMINIO 48¨,0.0,3.0,0.0,3.0
H800OT000007,LINTERNA MANUAL,0.0,3.0,0.0,3.0
H800OT000011,CAJA  PORTA HERRAMIENTAS,1.0,0.0,0.0,1.0
H800OT000012,CINTA AISLADORA NEGRA,0.0,6.0,0.0,6.0
H800OT000107,LIMA PLANA,0.0,2.0,0.0,2.0
