Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT243PH225M,PUNTA PHILLIPS X 25MM,UN,4.0,0.0,0.0,0.0,4.0,1313.4,5254.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT289PCNN00,PIEDRA CHISPERO,UN,4.0,0.0,0.0,0.0,4.0,329.09,1316.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT295ALGU00,ALGUICIDA 1 LT,UN,3.0,0.0,0.0,0.0,3.0,1873.95,5622.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT30055RB00,AMARRAS PLASTICAS 550x8.0,UN,39.0,0.0,0.0,0.0,39.0,252.0,9828.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOTCANOISTER,CANDADO OISTER,UN,4.0,0.0,0.0,0.0,4.0,3884.4,15538.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOTMANGNNCO0,MANGA COLECTORA/FILTRO COLECTOR ,UN,1.0,0.0,0.0,0.0,1.0,36075.0,36075.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOTSILLAESCR,SILLA DE ESCRITORIO,UN,2.0,0.0,0.0,0.0,2.0,63017.0,126034.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : OT,,,,,,nan,,,777.0,0.0,0.0,0.0,777.0,,1987537.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,SL,SOLDADURA,IBQ211008237,SHIED CUP BODY 9-8237 SOLTEC,UN,20.0,0.0,0.0,0.0,20.0,16558.0,331160.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : SL,,,,,,nan,,,20.0,0.0,0.0,0.0,20.0,,331160.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 120,,,,,,nan,,,797.0,0.0,0.0,0.0,797.0,,2318697.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,121,SERVICIOS DE TERCERO,HH,SERVICIO ELECTROMECANICOS,SEHHGPSS1060,MALLA,UN,1.0,0.0,0.0,0.0,1.0,2790.0,2790.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : HH,,,,,,nan,,,1.0,0.0,0.0,0.0,1.0,,2790.0,SM_STOCK CASA MATRIZ.xlsx
